date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:22:22	20/20	---MCZ	200	added ('OK')	text/plain	date:Thu,%2017%20Jul%202025%2017:22:23%20GMT	https://haughton-ventures.webflow.io/robots.txt		(from )
01:22:23	28287/28287	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2017:22:24%20GMT	https://haughton-ventures.webflow.io/	./haughton_clone/haughton-ventures.webflow.io/index.html	(from )
01:22:24	90565/90565	---MCZ	200	added ('OK')	text/css	etag:W/%22de840c8394a6b3c5b4dde41e3908a922%22	https://cdn.prod.website-files.com/687563dc787e44a7f4a50a72/css/haughton-ventures.webflow.shared.de840c839.css	./haughton_clone/cdn.prod.website-files.com/687563dc787e44a7f4a50a72/css/haughton-ventures.webflow.shared.de840c839.css	(from https://haughton-ventures.webflow.io/)
01:22:24	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	./haughton_clone/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://haughton-ventures.webflow.io/)
01:22:24	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Jul%202025%2017:22:25%20GMT	https://fonts.googleapis.com/	./haughton_clone/fonts.googleapis.com/index.html	(from https://haughton-ventures.webflow.io/)
01:22:24	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Jul%202025%2017:22:25%20GMT	https://fonts.gstatic.com/	./haughton_clone/fonts.gstatic.com/index.html	(from https://haughton-ventures.webflow.io/)
01:22:25	286/286	---M--	200	added ('OK')	image/png	etag:%2237ffb73a9795ec7b75ff6f69782d093b%22	https://cdn.prod.website-files.com/687563dc787e44a7f4a50a72/68765d850bc4162f6b0a2734_favicon-32x32.png	./haughton_clone/cdn.prod.website-files.com/687563dc787e44a7f4a50a72/68765d850bc4162f6b0a2734_favicon-32x32.png	(from https://haughton-ventures.webflow.io/)
01:22:25	11284/11284	---M--	200	added ('OK')	image/jpeg	etag:%22a3bd278dd723b1db788b0e3a60634a62%22	https://cdn.prod.website-files.com/687563dc787e44a7f4a50a72/6879252edea93bae1b629dda_jjjaaa.jpeg	./haughton_clone/cdn.prod.website-files.com/687563dc787e44a7f4a50a72/6879252edea93bae1b629dda_jjjaaa.jpg	(from https://haughton-ventures.webflow.io/)
01:22:25	26362/26362	---M--	200	added ('OK')	image/png	etag:%223533c09b190df68b29b177088c4fd9d3%22	https://cdn.prod.website-files.com/687563dc787e44a7f4a50a72/687678f118c5ab421b17d293_hv-logo-removebg-preview%20(4).png	./haughton_clone/cdn.prod.website-files.com/687563dc787e44a7f4a50a72/687678f118c5ab421b17d293_hv-logo-removebg-preview%20(4).png	(from https://haughton-ventures.webflow.io/)
01:22:26	17130/17130	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2017:22:26%20GMT	https://haughton-ventures.webflow.io/about	./haughton_clone/haughton-ventures.webflow.io/about.html	(from https://haughton-ventures.webflow.io/)
01:22:27	13502/13502	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2017:22:27%20GMT	https://haughton-ventures.webflow.io/portfolio	./haughton_clone/haughton-ventures.webflow.io/portfolio.html	(from https://haughton-ventures.webflow.io/)
01:22:27	13549/13549	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2017:22:28%20GMT	https://haughton-ventures.webflow.io/insights	./haughton_clone/haughton-ventures.webflow.io/insights.html	(from https://haughton-ventures.webflow.io/)
01:22:28	9151/9151	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2017:22:28%20GMT	https://haughton-ventures.webflow.io/contact	./haughton_clone/haughton-ventures.webflow.io/contact.html	(from https://haughton-ventures.webflow.io/)
01:22:28	154/154	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225b8394bf27c33bd3bcb6b1edb09763f1%22	https://cdn.prod.website-files.com/687563dc787e44a7f4a50a72/687563dc787e44a7f4a50b08_Top%20LeFt%20Corner%20Block.svg	./haughton_clone/cdn.prod.website-files.com/687563dc787e44a7f4a50a72/687563dc787e44a7f4a50b08_Top%20LeFt%20Corner%20Block.svg	(from https://haughton-ventures.webflow.io/)
01:22:28	84578/84578	---M--	200	added ('OK')	image/avif	etag:%22b85d5002bd743aef93f2c2d3f475b861%22	https://cdn.prod.website-files.com/687563dc787e44a7f4a50a72/687563dc787e44a7f4a50b07_mailchimp-lAx4E6Gl06s-unsplash%201.avif	./haughton_clone/cdn.prod.website-files.com/687563dc787e44a7f4a50a72/687563dc787e44a7f4a50b07_mailchimp-lAx4E6Gl06s-unsplash%201.avif	(from https://haughton-ventures.webflow.io/)
01:22:28	3686/3686	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221e656297c9c75e4b4fcb5ca67eb05b05%22	https://cdn.prod.website-files.com/687563dc787e44a7f4a50a72/687648b4af16be1a0198dc58_rentberry-logo-white.svg	./haughton_clone/cdn.prod.website-files.com/687563dc787e44a7f4a50a72/687648b4af16be1a0198dc58_rentberry-logo-white.svg	(from https://haughton-ventures.webflow.io/)
01:22:29	5012/5012	---M--	200	added ('OK')	image/webp	etag:%2222c468c7c7e7a7b5500110f9c2ac77de%22	https://cdn.prod.website-files.com/687563dc787e44a7f4a50a72/68764a559e36daaa264b2272_azure-printed-homes.webp	./haughton_clone/cdn.prod.website-files.com/687563dc787e44a7f4a50a72/68764a559e36daaa264b2272_azure-printed-homes.webp	(from https://haughton-ventures.webflow.io/)
01:22:30	200/200	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262b7b65c2cb971ace1449b39bf56f063%22	https://cdn.prod.website-files.com/687563dc787e44a7f4a50a72/687563dc787e44a7f4a50b0a_Small%20Top%20Right%20Corner%20Block.svg	./haughton_clone/cdn.prod.website-files.com/687563dc787e44a7f4a50a72/687563dc787e44a7f4a50b0a_Small%20Top%20Right%20Corner%20Block.svg	(from https://haughton-ventures.webflow.io/)
01:22:31	94746/94746	---M--	200	added ('OK')	image/avif	etag:%22744ef9d0fb3c7d259d90bc2efd277555%22	https://cdn.prod.website-files.com/687563dc787e44a7f4a50a72/687563dc787e44a7f4a50b0e_Group%20663.avif	./haughton_clone/cdn.prod.website-files.com/687563dc787e44a7f4a50a72/687563dc787e44a7f4a50b0e_Group%20663.avif	(from https://haughton-ventures.webflow.io/)
01:22:31	276612/276612	---M--	200	added ('OK')	image/webp	etag:%221159e145bc8298fcfbc406145e62ace5%22	https://cdn.prod.website-files.com/687563dc787e44a7f4a50a72/687563dc787e44a7f4a50aee_mailchimp-lAx4E6Gl06s-unsplash%201.webp	./haughton_clone/cdn.prod.website-files.com/687563dc787e44a7f4a50a72/687563dc787e44a7f4a50aee_mailchimp-lAx4E6Gl06s-unsplash%201.webp	(from https://haughton-ventures.webflow.io/)
01:22:32	9834/9834	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2017:22:32%20GMT	https://haughton-ventures.webflow.io/portfolio/rentberry	./haughton_clone/haughton-ventures.webflow.io/portfolio/rentberry.html	(from https://haughton-ventures.webflow.io/)
01:22:32	9900/9900	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2017:22:32%20GMT	https://haughton-ventures.webflow.io/portfolio/azure-printed-homes	./haughton_clone/haughton-ventures.webflow.io/portfolio/azure-printed-homes.html	(from https://haughton-ventures.webflow.io/)
01:22:33	10197/10197	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2017:22:33%20GMT	https://haughton-ventures.webflow.io/portfolio/superphone	./haughton_clone/haughton-ventures.webflow.io/portfolio/superphone.html	(from https://haughton-ventures.webflow.io/)
01:22:33	9605/9605	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2017:22:34%20GMT	https://haughton-ventures.webflow.io/portfolio/artsky	./haughton_clone/haughton-ventures.webflow.io/portfolio/artsky.html	(from https://haughton-ventures.webflow.io/)
